no,year,a,b
1,2000,96,130
2,2000,198,110
3,2000,42,25
4,2000,66,40
5,2000,63,40
6,2000,21,12
7,2000,45,60
8,2000,36,60
9,2000,78,18
10,2000,42,9
11,2000,39,35
12,2000,105,20
13,2000,99,30
14,2000,42,12
15,2000,57,9
16,2000,54,15
17,2000,81,25
18,2000,63,50
19,2000,75,50
20,2000,123,30
21,2000,63,9
22,2000,108,160
23,2000,150,80
24,2000,39,45
25,2000,51,25
26,2000,114,80
27,2000,60,18
28,2000,39,160
29,2000,57,9
30,2000,39,40
31,2000,81,230
32,2000,84,35
33,2000,66,30
34,2000,78,70
35,2000,57,70
36,2000,48,6
37,2000,12,18
38,2000,9,9
39,2000,9,12
40,2000,39,30
41,2000,102,55
42,2000,12,6
43,2000,6,0
44,2000,24,3
45,2000,12,0
46,2000,15,3
47,2000,111,45
48,2000,270,180
49,2000,213,45
50,2000,6,3
51,2000,129,90
52,2000,27,25
53,2000,147,100
54,2000,330,190
55,2000,39,18
56,2000,51,9
57,2000,42,6
58,2000,6,0
59,2000,12,6
60,2000,9,0
61,2000,9,0
62,2000,15,0
63,2000,66,20
64,2000,3,0
65,2000,15,18
66,2000,15,6
67,2000,54,21
68,2000,0,0
69,2000,27,12
70,2000,3,0
71,2000,30,120
72,2000,12,35
73,2000,6,3
74,2000,3,0
75,2000,6,0
76,2000,27,3
77,2000,60,30
78,2000,267,100
79,2000,9,25
80,2000,81,20
81,2000,3,0
82,2000,3,0
83,2000,12,0
84,2000,18,12
85,2000,66,30
86,2000,201,60
87,2000,12,0
88,2000,33,9
89,2000,18,40
90,2000,111,40
91,2000,486,320
92,2000,336,210
93,2000,72,80
94,2000,396,150
95,2000,162,100
96,2000,54,30
97,2000,165,110
98,2000,96,40
99,2000,15,0
